SMILES,targets
CCOC(=O)N(CC(/N=C/c1ccc(Cl)cc1)c1ccc(C(C)(C)C)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccccc1O)c1ccc(C(C)(C)C)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(F)c(C#N)c1)c1ccc(C(C)(C)C)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(N2CCCC2)cc1)c1ccc(C(C)(C)C)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccnc1)c1ccc(C(C)(C)C)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1nc2ccccc2n1C)c1ccc(C(C)(C)C)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cnn(C)c1)c1ccc(C(C)(C)C)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(CC)CC)c1ccc(C(C)(C)C)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCCC1)c1ccc(C(C)(C)C)cc1)C[Si](C)(C)C,1
CCCC(C)/C=N/C(CN(C[Si](C)(C)C)C(=O)OCC)c1ccc(C(C)(C)C)cc1,1
CCOC(=O)N(CC(/N=C/C1CCCCC1)c1ccc(C(C)(C)C)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(N2CCCC2)cc1)c1cc(Cl)cc(Cl)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccnc1)c1cc(Cl)cc(Cl)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cnc(-c2ccccc2)nc1)c1cc(Cl)cc(Cl)c1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1nc2ccccc2n1C)c1cc(Cl)cc(Cl)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cnn(C)c1)c1cc(Cl)cc(Cl)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(CC)CC)c1cc(Cl)cc(Cl)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCCC1)c1cc(Cl)cc(Cl)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCCCC1)c1cc(Cl)cc(Cl)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccccc1O)c1cccc(Br)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(F)c(C#N)c1)c1cccc(Br)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(N2CCCC2)cc1)c1cccc(Br)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccnc1)c1cccc(Br)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cnc(-c2ccccc2)nc1)c1cccc(Br)c1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1nc2ccccc2n1C)c1cccc(Br)c1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1cnn(C)c1)c1cccc(Br)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(CC)CC)c1cccc(Br)c1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCCC1)c1cccc(Br)c1)C[Si](C)(C)C,1
CCCC(C)/C=N/C(CN(C[Si](C)(C)C)C(=O)OCC)c1cccc(Br)c1,1
CCOC(=O)N(CC(/N=C/c1ccc(F)c(C#N)c1)c1ccc(C(F)(F)F)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cnc(-c2ccccc2)nc1)c1ccc(C(F)(F)F)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1nc2ccccc2n1C)c1ccc(C(F)(F)F)cc1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1cnn(C)c1)c1ccc(C(F)(F)F)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(CC)CC)c1ccc(C(F)(F)F)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCCC1)c1ccc(C(F)(F)F)cc1)C[Si](C)(C)C,1
CCCC(C)/C=N/C(CN(C[Si](C)(C)C)C(=O)OCC)c1ccc(C(F)(F)F)cc1,1
CCOC(=O)N(CC(/N=C/C1CCCCC1)c1ccc(C(F)(F)F)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(Cl)cc1)c1ccc(C(=O)OC)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(F)c(C#N)c1)c1ccc(C(=O)OC)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(N2CCCC2)cc1)c1ccc(C(=O)OC)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccnc1)c1ccc(C(=O)OC)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cnc(-c2ccccc2)nc1)c1ccc(C(=O)OC)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1nc2ccccc2n1C)c1ccc(C(=O)OC)cc1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1cnn(C)c1)c1ccc(C(=O)OC)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(CC)CC)c1ccc(C(=O)OC)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCCC1)c1ccc(C(=O)OC)cc1)C[Si](C)(C)C,0
CCCC(C)/C=N/C(CN(C[Si](C)(C)C)C(=O)OCC)c1ccc(C(=O)OC)cc1,1
CCOC(=O)N(CC(/N=C/c1ccc(Cl)cc1)c1ccc(C#N)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccccc1O)c1ccc(C#N)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(N2CCCC2)cc1)c1ccc(C#N)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccnc1)c1ccc(C#N)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cnc(-c2ccccc2)nc1)c1ccc(C#N)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1nc2ccccc2n1C)c1ccc(C#N)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cnn(C)c1)c1ccc(C#N)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(CC)CC)c1ccc(C#N)cc1)C[Si](C)(C)C,1
CCCC(C)/C=N/C(CN(C[Si](C)(C)C)C(=O)OCC)c1ccc(C#N)cc1,1
CCOC(=O)N(CC(/N=C/C1CCCCC1)c1ccc(C#N)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(Cl)cc1)c1cccnc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccccc1O)c1cccnc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(F)c(C#N)c1)c1cccnc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(N2CCCC2)cc1)c1cccnc1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1cccnc1)c1cccnc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cnc(-c2ccccc2)nc1)c1cccnc1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1cnn(C)c1)c1cccnc1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/C1CCCC1)c1cccnc1)C[Si](C)(C)C,1
CCCC(C)/C=N/C(CN(C[Si](C)(C)C)C(=O)OCC)c1cccnc1,1
CCOC(=O)N(CC(/N=C/C1CCCCC1)c1cccnc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(Cl)cc1)c1ccc(-c2ccccc2)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(N2CCCC2)cc1)c1ccc(-c2ccccc2)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccnc1)c1ccc(-c2ccccc2)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cnc(-c2ccccc2)nc1)c1ccc(-c2ccccc2)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1nc2ccccc2n1C)c1ccc(-c2ccccc2)cc1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1cnn(C)c1)c1ccc(-c2ccccc2)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(CC)CC)c1ccc(-c2ccccc2)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCCC1)c1ccc(-c2ccccc2)cc1)C[Si](C)(C)C,1
CCCC(C)/C=N/C(CN(C[Si](C)(C)C)C(=O)OCC)c1ccc(-c2ccccc2)cc1,1
CCOC(=O)N(CC(/N=C/C1CCCCC1)c1ccc(-c2ccccc2)cc1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(C(C)=O)cc1)C(C)C)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1ccc(O)cc1)C(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccc(OC)c1)C(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccncc1)C(C)C)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1ccc(C)nc1)C(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cc(C)on1)C(C)C)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/C(CC)CC)C(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C(C)CC)C(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCOC1)C(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCOCC1)C(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(F)cc1)C1CC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(C(C)=O)cc1)C1CC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1ccc(O)cc1)C1CC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccc(OC)c1)C1CC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(C)nc1)C1CC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1cc(C)on1)C1CC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1nccs1)C1CC1)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/C(CC)CC)C1CC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCOC1)C1CC1)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(F)cc1)C(C)(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1ccc(C(C)=O)cc1)C(C)(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cccc(OC)c1)C(C)(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/c1cc(C)on1)C(C)(C)C)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/c1nccs1)C(C)(C)C)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/C(CC)CC)C(C)(C)C)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/C(C)CC)C(C)(C)C)C[Si](C)(C)C,0
CCOC(=O)N(CC(/N=C/C1CCOC1)C(C)(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(/N=C/C1CCOCC1)C(C)(C)C)C[Si](C)(C)C,1
CCOC(=O)N(CC(CC(C)C)/N=C/c1ccc(F)cc1)C[Si](C)(C)C,1
